id,momed,grade,verb,perfo
1,9.5,1,24.42,19.84
1,9.5,2,26.98,22.97
1,9.5,4,39.61,43.9
1,9.5,6,55.64,44.19
2,5.5,1,12.44,5.9
2,5.5,2,14.38,13.44
2,5.5,4,21.92,18.29
2,5.5,6,37.81,40.38
3,14,1,32.43,27.64
3,14,2,33.51,45.02
3,14,4,34.3,46.99
3,14,6,50.18,77.72
4,14,1,22.69,33.16
4,14,2,28.39,29.68
4,14,4,42.16,45.97
4,14,6,44.72,61.66
5,11.5,1,28.23,27.64
5,11.5,2,37.81,44.42
5,11.5,4,41.06,65.48
5,11.5,6,70.95,64.22
6,14,1,16.06,8.45
6,14,2,20.12,15.78
6,14,4,38.02,26.99
6,14,6,39.94,39.08
7,9.5,1,8.5,4.85
7,9.5,2,16.49,17.24
7,9.5,4,28.71,30.75
7,9.5,6,40.83,41.03
8,5.5,1,14.11,18.72
8,5.5,2,20.92,21.43
8,5.5,4,21.53,33.63
8,5.5,6,25.68,42.36
9,9.5,1,15.52,13.37
9,9.5,2,23.36,20.13
9,9.5,4,37.41,35.36
9,9.5,6,45.52,38.53
10,11.5,1,20.07,15.26
10,11.5,2,33.38,23.67
10,11.5,4,37.71,42.59
10,11.5,6,48.65,48.39
11,11.5,1,21.59,14.29
11,11.5,2,31,27.24
11,11.5,4,41.38,32.69
11,11.5,6,55,48.17
12,9.5,1,15.57,11.12
12,9.5,2,19.7,19.85
12,9.5,4,26.68,32.87
12,9.5,6,34.09,35.61
13,9.5,1,20.03,11.46
13,9.5,2,25.42,16.88
13,9.5,4,22.43,28.18
13,9.5,6,30.89,34.32
14,11.5,1,22.75,18.59
14,11.5,2,29.45,35.61
14,11.5,4,32.99,36.81
14,11.5,6,46.9,56.2
15,11.5,1,18.05,10.51
15,11.5,2,27.04,23.19
15,11.5,4,27.25,38.25
15,11.5,6,32.4,52.01
16,14,1,22.54,23.27
16,14,2,26.68,30.09
16,14,4,28.33,44.7
16,14,6,41.98,45.51
17,9.5,1,11.22,10.1
17,9.5,2,19.45,29.51
17,9.5,4,21.71,28.58
17,9.5,6,39.29,32.81
18,9.5,1,22.96,18.85
18,9.5,2,25.27,27.03
18,9.5,4,27.44,39.28
18,9.5,6,30.54,46.41
19,11.5,1,15.63,32.05
19,11.5,2,20.18,27.26
19,11.5,4,29.43,42.31
19,11.5,6,38.79,51.34
20,11.5,1,17.93,31.59
20,11.5,2,29.08,36.78
20,11.5,4,39.42,53.47
20,11.5,6,55.16,58.49
21,11.5,1,21.03,17.66
21,11.5,2,28.39,21.61
21,11.5,4,39.38,40.01
21,11.5,6,60.39,46.67
22,5.5,1,21.5,10.15
22,5.5,2,20.8,20.35
22,5.5,4,30,42.17
22,5.5,6,54.27,59.61
23,11.5,1,20.3,17.46
23,11.5,2,28.14,17.69
23,11.5,4,27.38,33.61
23,11.5,6,30.68,43.31
24,9.5,1,15.33,8.9
24,9.5,2,18.88,20.44
24,9.5,4,21.96,33.85
24,9.5,6,31.64,40.28
25,9.5,1,15.64,12.25
25,9.5,2,14.48,19.7
25,9.5,4,16.67,27.71
25,9.5,6,27.29,39.14
26,11.5,1,25.82,35.25
26,11.5,2,35.21,36.78
26,11.5,4,45.42,56.25
26,11.5,6,66.52,68.58
27,14,1,24.84,24.85
27,14,2,30.86,42.84
27,14,4,47.54,62.88
27,14,6,56.7,64.07
28,18,1,28.57,32.28
28,18,2,34.32,46.19
28,18,4,44.02,44.06
28,18,6,62.23,61.13
29,14,1,21.07,28.58
29,14,2,25.09,40.03
29,14,4,40.18,48.43
29,14,6,56.15,57.31
30,14,1,17.16,13.3
30,14,2,20.63,22.81
30,14,4,34.84,36.42
30,14,6,37.89,62.2
31,11.5,1,27.56,25.16
31,11.5,2,33.65,37.93
31,11.5,4,51.07,47.42
31,11.5,6,64.27,54.4
32,11.5,1,27.83,20.09
32,11.5,2,37.87,31.78
32,11.5,4,36.55,51.34
32,11.5,6,50.85,60.03
33,8,1,18.6,21.98
33,8,2,32.6,40.85
33,8,4,39.27,48.5
33,8,6,54.87,49.52
34,11.5,1,19.03,18.46
34,11.5,2,32.28,26.56
34,11.5,4,37.5,51.85
34,11.5,6,49.17,50.9
35,8,1,19.26,14.8
35,8,2,31.44,29.3
35,8,4,34.57,44.55
35,8,6,34.3,48.89
36,5.5,1,20.03,21.38
36,5.5,2,19.93,23.58
36,5.5,4,28.02,33.17
36,5.5,6,34.14,52.04
37,9.5,1,19.43,18.07
37,9.5,2,29.38,21.24
37,9.5,4,45.8,39.12
37,9.5,6,61.37,54.62
38,14,1,15.48,23.29
38,14,2,24.15,32.88
38,14,4,31.47,48.31
38,14,6,44.54,67.89
39,9.5,1,12.84,22.1
39,9.5,2,19.29,29.13
39,9.5,4,25.09,52.47
39,9.5,6,32.56,68.38
40,9.5,1,19.96,20.32
40,9.5,2,36.29,30.04
40,9.5,4,35.45,51.06
40,9.5,6,48.33,58.87
41,5.5,1,6.58,9.2
41,5.5,2,11.43,24.96
41,5.5,4,21.7,36.18
41,5.5,6,31.28,45.44
42,11.5,1,17.87,24.65
42,11.5,2,25,36.64
42,11.5,4,34.09,39.22
42,11.5,6,43.04,54.29
43,11.5,1,20.49,20.72
43,11.5,2,27.25,36.49
43,11.5,4,34.88,46.83
43,11.5,6,49.81,63.11
44,9.5,1,23.69,22.18
44,9.5,2,24.38,26.71
44,9.5,4,31.47,48.79
44,9.5,6,42.5,54.35
45,5.5,1,8.72,2.86
45,5.5,2,24.11,9.31
45,5.5,4,30.64,21.43
45,5.5,6,39.97,27.33
46,11.5,1,27.29,29.58
46,11.5,2,30.43,41.48
46,11.5,4,48.93,51.3
46,11.5,6,62.38,61.1
47,11.5,1,13.32,19.11
47,11.5,2,17.34,32.82
47,11.5,4,32.84,42.91
47,11.5,6,44.82,46.54
48,11.5,1,35.15,28.69
48,11.5,2,30.12,38.92
48,11.5,4,41.62,49.64
48,11.5,6,54.49,60.64
49,14,1,20.71,18.43
49,14,2,27.72,22.98
49,14,4,30.43,35.38
49,14,6,36.56,43.4
50,9.5,1,12.38,19.55
50,9.5,2,19.2,29.77
50,9.5,4,24.75,44.06
50,9.5,6,30.64,57.19
51,11.5,1,23.48,24.68
51,11.5,2,34.4,40
51,11.5,4,40.21,48.4
51,11.5,6,48.94,68.24
52,9.5,1,16.58,7.23
52,9.5,2,20.97,20.48
52,9.5,4,29.18,24.23
52,9.5,6,35.25,40.12
53,9.5,1,17.53,17.33
53,9.5,2,30.03,34.65
53,9.5,4,34.66,40.58
53,9.5,6,50.36,52.83
54,5.5,1,13.27,2.52
54,5.5,2,22.59,10.5
54,5.5,4,23.62,28.21
54,5.5,6,36.35,31.18
55,11.5,1,26.1,31.83
55,11.5,2,34.72,37.43
55,11.5,4,52.71,44.71
55,11.5,6,54.6,60.92
